Invoice_ID,Customer_ID,Invoice_Date,Payment_Terms_Days,Due_Date,Invoice_Amount,Tax_Amount,Total_Amount,Product_Category,Sales_Channel,Payment_Status,Outstanding_Amount,Days_Overdue,Aging_Bucket,Collection_Status,Customer_Risk_Score,Collection_Agent,Dispute_Flag,Promise_To_Pay_Date,Invoice_Month,Invoice_Year,Quarter,Invoice_Priority
INV0000001,CUST0443,2024-08-27,15,2024-09-11,231370,41646.6,273016.6,Consumer Goods,Corporate,Paid,0,0,0-30,Closed,47,Amit,No,,Aug-2024,2024,Q3,High
INV0000002,CUST0685,2025-06-26,45,2025-08-10,143685,25863.3,169548.3,Software,Distributor,Paid,0,0,0-30,Closed,90,Neha,No,,Jun-2025,2025,Q2,Medium
INV0000003,CUST0955,2024-04-15,45,2024-05-30,283373,51007.14,334380.14,Industrial Goods,Corporate,Paid,0,0,0-30,Closed,85,Neha,No,,Apr-2024,2024,Q2,High
INV0000004,CUST0478,2024-06-05,30,2024-07-05,26154,4707.72,30861.72,Software,Online,Paid,0,0,0-30,Closed,46,Rohit,No,,Jun-2024,2024,Q2,Low
INV0000005,CUST0239,2025-06-26,45,2025-08-10,119390,21490.2,140880.2,Software,Direct,Paid,0,2,0-30,Reminder Sent,43,Sneha,No,,Jun-2025,2025,Q2,Medium
INV0000006,CUST0157,2024-10-30,15,2024-11-14,277482,49946.76,327428.76,Medical Supplies,Distributor,Paid,0,0,0-30,Closed,51,Karan,No,,Oct-2024,2024,Q4,High
INV0000007,CUST0802,2025-06-10,30,2025-07-10,230820,41547.6,272367.6,Medical Supplies,Corporate,Paid,0,0,0-30,Closed,44,Rohit,No,,Jun-2025,2025,Q2,High
INV0000008,CUST0615,2025-11-18,60,2026-01-17,161300,29034,190334,Electronics,Corporate,Paid,0,14,0-30,Reminder Sent,88,Neha,No,,Nov-2025,2025,Q4,Medium
INV0000009,CUST0073,2024-12-19,30,2025-01-18,141103,25398.54,166501.54,Software,Distributor,Paid,0,13,0-30,Reminder Sent,63,Pooja,No,,Dec-2024,2024,Q4,Medium
INV0000010,CUST0729,2024-02-25,60,2024-04-25,212650,38277,250927,Consumer Goods,Corporate,Paid,0,0,0-30,Closed,89,Amit,No,,Feb-2024,2024,Q1,High
INV0000011,CUST0130,2024-05-22,60,2024-07-21,266161,47908.98,314069.98,Industrial Goods,Corporate,Paid,0,4,0-30,Reminder Sent,34,Amit,No,,May-2024,2024,Q2,High
INV0000012,CUST0004,2025-02-16,45,2025-04-02,193580,34844.4,228424.4,Industrial Goods,Corporate,Paid,0,0,0-30,Closed,76,Amit,No,,Feb-2025,2025,Q1,High
