Payment_ID,Invoice_ID,Payment_Date,Amount_Paid,Payment_Method,Delay_Days,Write_Off_Flag
PAY0000001,INV0000001,2024-09-07,273016.6,UPI,0,No
PAY0000002,INV0000002,2025-08-08,169548.3,UPI,0,No
PAY0000003,INV0000003,2024-05-30,334380.14,Bank Transfer,0,No
PAY0000004,INV0000004,2024-07-02,30861.72,Bank Transfer,0,No
PAY0000005,INV0000005,2025-08-12,140880.2,Bank Transfer,2,No
PAY0000006,INV0000006,2024-11-14,327428.76,NEFT,0,No
PAY0000007,INV0000007,2025-07-08,272367.6,Cheque,0,No
PAY0000008,INV0000008,2026-01-31,190334,Cheque,14,No
PAY0000009,INV0000009,2025-01-31,166501.54,RTGS,13,No
PAY0000010,INV0000010,2024-04-20,250927,UPI,0,No
PAY0000011,INV0000011,2024-07-25,314069.98,UPI,4,No
PAY0000012,INV0000012,2025-04-01,228424.4,RTGS,0,No
PAY0000013,INV0000013,,0,,392,No
PAY0000014,INV0000014,2026-03-03,276384.32,Bank Transfer,6,No
PAY0000015,INV0000015,2025-09-23,158523.56,NEFT,0,No
PAY0000016,INV0000016,2024-05-24,164960.46,Bank Transfer,0,No
PAY0000017,INV0000017,2025-03-11,338685.96,Bank Transfer,0,No
PAY0000018,INV0000018,2025-11-30,17665.78,NEFT,11,No
PAY0000019,INV0000019,2026-02-13,342303.84,RTGS,0,No
PAY0000020,INV0000020,2025-08-16,197698.38,Bank Transfer,14,No
PAY0000021,INV0000021,2024-09-06,150775.68,Cheque,0,No
PAY0000022,INV0000022,2025-11-22,75107,RTGS,0,No
PAY0000023,INV0000023,2025-08-29,163549.18,RTGS,15,No
PAY0000024,INV0000024,2024-12-18,161263.52,Bank Transfer,0,No
PAY0000025,INV0000025,2025-05-30,210522.62,Bank Transfer,0,No
PAY0000026,INV0000026,,0,,529,No
PAY0000027,INV0000027,2025-04-17,351152.66,UPI,49,No
PAY0000028,INV0000028,2024-11-13,163498.44,Cheque,19,No
PAY0000029,INV0000029,2026-04-25,196989.2,NEFT,3,No
PAY0000030,INV0000030,2026-05-16,111576.08,UPI,0,No
PAY0000031,INV0000031,2026-06-29,277736.6,Bank Transfer,4,No
PAY0000032,INV0000032,2026-04-11,186155.62,RTGS,0,No
PAY0000033,INV0000033,2025-10-03,277081.7,RTGS,0,No
PAY0000034,INV0000034,2024-04-14,196316.6,RTGS,8,No
PAY0000035,INV0000035,2024-07-11,324468.14,UPI,6,No
PAY0000036,INV0000036,2025-09-28,105955.74,Cheque,56,No
PAY0000037,INV0000037,,0,,220,No
PAY0000038,INV0000038,2026-05-03,298922.32,UPI,3,No
PAY0000039,INV0000039,2025-03-09,278784.44,NEFT,10,No
PAY0000040,INV0000040,2026-02-20,279618.7,UPI,0,No
PAY0000041,INV0000041,,0,,205,No
PAY0000042,INV0000042,2024-04-21,144099.24,UPI,0,No
PAY0000043,INV0000043,2026-01-10,212794.12,Bank Transfer,35,No
PAY0000044,INV0000044,2025-09-02,230943.7,Bank Transfer,0,No
PAY0000045,INV0000045,2026-04-11,178682.68,Cheque,14,No
PAY0000046,INV0000046,2026-05-13,320892.74,NEFT,8,No
PAY0000047,INV0000047,2025-08-26,39690.48,Bank Transfer,0,No
PAY0000048,INV0000048,,0,,25,No
PAY0000049,INV0000049,2025-09-30,202189.46,RTGS,0,No
PAY0000050,INV0000050,2024-09-07,16581.36,RTGS,0,No
PAY0000051,INV0000051,2024-12-02,160706.56,Cheque,0,No
PAY0000052,INV0000052,2025-03-18,325874.7,Bank Transfer,0,No
PAY0000053,INV0000053,,0,,639,No
PAY0000054,INV0000054,2024-12-07,279604.54,UPI,0,No
PAY0000055,INV0000055,2024-09-29,212931,UPI,8,No
PAY0000056,INV0000056,2025-03-15,342526.86,UPI,0,No
PAY0000057,INV0000057,2024-03-02,303441.72,NEFT,14,No
PAY0000058,INV0000058,2025-08-14,327166.8,UPI,0,No
PAY0000059,INV0000059,2025-04-26,277618.6,RTGS,0,No
PAY0000060,INV0000060,2025-04-04,222989.32,RTGS,11,No
PAY0000061,INV0000061,2026-03-29,141467.84,RTGS,0,No
PAY0000062,INV0000062,2024-03-10,336048.66,NEFT,5,No
PAY0000063,INV0000063,2024-05-11,128604.66,UPI,0,No
PAY0000064,INV0000064,2024-06-14,344758.24,Bank Transfer,6,No
PAY0000065,INV0000065,2025-08-28,166305.66,RTGS,32,No
PAY0000066,INV0000066,2026-05-11,132719.32,Cheque,0,No
PAY0000067,INV0000067,2025-02-03,293568.66,NEFT,8,No
PAY0000068,INV0000068,,0,,226,No
PAY0000069,INV0000069,2026-03-30,238079.16,UPI,6,No
PAY0000070,INV0000070,2025-11-29,230425.68,Cheque,4,No
PAY0000071,INV0000071,2024-12-06,248470.24,Cheque,41,No
PAY0000072,INV0000072,2025-12-18,170478.14,Cheque,0,No
PAY0000073,INV0000073,2025-12-24,280819.94,NEFT,0,No
PAY0000074,INV0000074,2024-12-26,67727.28,RTGS,0,No
PAY0000075,INV0000075,2024-08-10,144116.94,Cheque,0,No
PAY0000076,INV0000076,2024-06-27,49100.98,UPI,0,No
PAY0000077,INV0000077,2025-05-08,271470.8,Bank Transfer,0,No
PAY0000078,INV0000078,2024-10-31,209480.68,Bank Transfer,0,No
PAY0000079,INV0000079,2024-04-12,155316.32,UPI,0,No
PAY0000080,INV0000080,2024-08-22,258038.86,RTGS,0,No
PAY0000081,INV0000081,2025-04-16,23463.12,UPI,0,No
PAY0000082,INV0000082,2025-07-27,73217.82,Bank Transfer,52,No
PAY0000083,INV0000083,2024-03-02,13601.86,UPI,0,No
PAY0000084,INV0000084,2026-01-09,32405.16,UPI,0,No
PAY0000085,INV0000085,2025-08-04,313363.16,Bank Transfer,0,No
PAY0000086,INV0000086,2025-04-22,13857.92,Bank Transfer,0,No
PAY0000087,INV0000087,2025-03-24,158963.7,RTGS,0,No
PAY0000088,INV0000088,2025-01-06,231881.8,Cheque,0,No
PAY0000089,INV0000089,2025-06-02,22202.88,NEFT,2,No
PAY0000090,INV0000090,2024-12-10,58477.26,NEFT,35,No
PAY0000091,INV0000091,2024-11-17,95736.94,Cheque,0,No
PAY0000092,INV0000092,2025-05-04,327448.82,Bank Transfer,0,No
PAY0000093,INV0000093,2024-12-22,313980.3,NEFT,0,No
PAY0000094,INV0000094,2024-12-13,109296.32,NEFT,4,No
PAY0000095,INV0000095,2025-08-12,120395.4,RTGS,14,No
PAY0000096,INV0000096,2026-05-23,290688.28,RTGS,0,No
PAY0000097,INV0000097,2026-04-03,160137.8,UPI,0,No
PAY0000098,INV0000098,2025-01-22,338611.62,Bank Transfer,9,No
PAY0000099,INV0000099,2025-07-23,263196.64,UPI,0,No
PAY0000100,INV0000100,2024-09-19,202587.12,UPI,13,No
PAY0000101,INV0000101,,0,,333,No
PAY0000102,INV0000102,2024-04-09,274180.08,Bank Transfer,5,No
PAY0000103,INV0000103,2025-11-13,297486.26,Bank Transfer,0,No
PAY0000104,INV0000104,2025-10-19,130919.82,RTGS,0,No
PAY0000105,INV0000105,2025-09-07,159784.98,Bank Transfer,53,No
PAY0000106,INV0000106,2024-09-26,208439.92,Bank Transfer,45,No
PAY0000107,INV0000107,,0,,310,No
PAY0000108,INV0000108,2025-01-29,40497.6,RTGS,0,No
PAY0000109,INV0000109,2024-12-30,286160.62,NEFT,52,No
PAY0000110,INV0000110,,0,,464,No
PAY0000111,INV0000111,2026-06-02,262048.5,RTGS,0,No
PAY0000112,INV0000112,2024-03-16,272521,NEFT,7,No
PAY0000113,INV0000113,2025-01-13,25531.66,Cheque,44,No
PAY0000114,INV0000114,2024-03-17,89377.92,Bank Transfer,2,No
PAY0000115,INV0000115,2025-11-11,78485.34,RTGS,0,No
PAY0000116,INV0000116,2025-11-18,309780.68,Bank Transfer,0,No
PAY0000117,INV0000117,2025-11-19,42129.54,RTGS,0,No
PAY0000118,INV0000118,2026-03-09,219024.52,UPI,0,No
PAY0000119,INV0000119,2025-02-17,284712.76,RTGS,1,No
PAY0000120,INV0000120,2024-12-16,268658.86,RTGS,33,No
PAY0000121,INV0000121,2025-04-02,113157.28,UPI,0,No
PAY0000122,INV0000122,2026-05-15,13232.52,RTGS,42,No
PAY0000123,INV0000123,2026-03-02,190026.02,Bank Transfer,0,No
PAY0000124,INV0000124,,0,,150,No
PAY0000125,INV0000125,2026-01-22,139130.26,UPI,15,No
PAY0000126,INV0000126,2025-06-26,353866.66,UPI,0,No
PAY0000127,INV0000127,2024-02-03,277324.78,NEFT,0,No
PAY0000128,INV0000128,2024-05-10,16327.66,RTGS,7,No
PAY0000129,INV0000129,2025-07-12,277704.74,Bank Transfer,10,No
PAY0000130,INV0000130,2024-05-26,267900.12,UPI,0,No
PAY0000131,INV0000131,2026-02-06,203975.98,UPI,0,No
PAY0000132,INV0000132,2026-04-03,318372.26,NEFT,2,No
PAY0000133,INV0000133,2025-12-10,24286.76,Cheque,0,No
PAY0000134,INV0000134,2025-06-27,140102.58,NEFT,9,No
PAY0000135,INV0000135,2024-08-30,305119.68,Cheque,0,No
PAY0000136,INV0000136,2024-03-04,294903.24,RTGS,0,No
PAY0000137,INV0000137,2025-06-27,156538.8,NEFT,6,No
PAY0000138,INV0000138,2024-09-04,290180.88,Cheque,0,No
PAY0000139,INV0000139,2026-04-02,55371.5,Cheque,0,No
PAY0000140,INV0000140,2024-06-09,222101.96,NEFT,0,No
PAY0000141,INV0000141,2025-04-14,184739.62,RTGS,0,No
PAY0000142,INV0000142,2025-06-23,174319.04,Cheque,0,No
PAY0000143,INV0000143,2025-06-09,156973.04,Cheque,5,No
PAY0000144,INV0000144,,0,,54,No
PAY0000145,INV0000145,2025-12-25,327547.94,UPI,0,No
